feedback_id,created_at,rating,feedback_text,,
F168,19-11-2025,4,Really solid app! Just needs a few more export formats.,,
F169,29-01-2026,1,Tried to use it for a project and it failed spectacularly. Embarrassing.,,
F170,28-12-2025,5,Flawless! Haven’t had a single issue since I started using it.,,
F171,06-11-2025,3,It’s okay. I don’t hate it but I don’t love it either.,,
F172,04-01-2026,2,Why is there no way to delete old entries? Clutters everything up.,,
F173,16-12-2025,4,Love the speed! Maybe add a tutorial for new users.,,
F174,24-11-2025,1,App crashed during payment. Got charged but didn’t get the service.,,
F175,23-01-2026,5,Perfect for what I need. No complaints here.,,
F176,07-12-2025,3,Does the basics. Not flashy but not broken either.,,
F177,11-11-2025,2,The voice search never works. Always says “try again later.”,,
F178,13-01-2026,4,Great interface! Just needs a few more customization options.,,
F179,25-12-2025,1,All my saved data vanished after the holiday update. So mad.,,
F180,2025-11-00,1,Date invalid—should be within last 3 months.,,
F181,27-01-2026,5,Super reliable and fast. Exactly what I needed.,,
F182,10-12-2025,3,It’s fine. Not sure why I’d pay for premium though.,,
F183,17-11-2025,2,The calendar sync is totally broken. Shows wrong dates.,,
F184,08-01-2026,4,Love the new icons! Maybe add a night mode soon.,,
F185,19-12-2025,1,Couldn’t even get past the login screen. Kept saying “invalid credentials.”,,
F186,03-11-2025,5,Simple and effective. Does exactly what I need without extra junk.,,
F187,20-01-2026,3,Not bad. Kinda basic but gets the job done.,,
F188,02-12-2025,2,The map feature showed me in the ocean. Not helpful.,,
F189,20-11-2025,4,Really smooth experience! Only complaint is the battery drain.,,
F190,16-01-2026,1,App froze during setup. Couldn’t complete onboarding.,,
F191,21-12-2025,5,Perfect! No complaints at all. Keep up the good work.,,
F192,09-11-2025,3,It’s alright. I mean, it works. Not much else to say.,
F193,05-01-2026,2,Why does it need access to my microphone just to type a note? Weird.,,
F194,15-12-2025,4,Great job on the recent update! Just fix the typo in the help section.,,
F195,26-11-2025,1,Spent an hour trying to figure out how to share. Gave up.,,
F196,24-01-2026,5,Flawless! Haven’t had a single problem since day one.,,
F197,04-12-2025,3,It’s okay. I don’t use it much but it seems fine.,,
F198,14-11-2025,2,The timer doesn’t count down properly. Off by like 10 seconds.,,
F199,12-01-2026,4,Love the clean look! Maybe add a few more fonts.,,
F200,27-12-2025,1,Kept getting logged out randomly. Couldn’t finish my task.,,
